Country,Population
India,"1,428,627,663"
China,"1,425,671,352"
United States,"339,996,563"
Indonesia,"277,534,122"
Pakistan,"240,485,658"
Nigeria,"223,804,632"
Brazil,"216,422,446"
Bangladesh,"172,954,319"
Russia,"144,444,359"
Mexico,"128,455,567"
Ethiopia,"126,527,060"
Japan,"123,294,513"
Philippines,"117,337,368"
Egypt,"112,716,598"
DR Congo,"102,262,808"
Vietnam,"98,858,950"
Iran,"89,172,767"
Turkey,"85,816,199"
Germany,"83,294,633"
Thailand,"71,801,279"
United Kingdom,"67,736,802"
Tanzania,"67,438,106"
France,"64,756,584"
South Africa,"60,414,495"
Italy,"58,870,762"
Kenya,"55,100,586"
Myanmar,"54,577,997"
Colombia,"52,085,168"
South Korea,"51,784,059"
Uganda,"48,582,334"
Sudan,"48,109,006"
Spain,"47,519,628"
Argentina,"45,773,884"
Algeria,"45,606,480"
Iraq,"45,504,560"
Afghanistan,"42,239,854"
Poland,"41,026,067"
Canada,"38,781,291"
Morocco,"37,840,044"
Saudi Arabia,"36,947,025"
Ukraine,"36,744,634"
Angola,"36,684,202"
Uzbekistan,"35,163,944"
Yemen,"34,449,825"
Peru,"34,352,719"
Malaysia,"34,308,525"
Ghana,"34,121,985"
Mozambique,"33,897,354"
Nepal,"30,896,590"
Madagascar,"30,325,732"
Côte d'Ivoire,"28,873,034"
Venezuela,"28,838,499"
Cameroon,"28,647,293"
Niger,"27,202,843"
Australia,"26,439,111"
North Korea,"26,160,821"
Taiwan,"23,923,276"
Mali,"23,293,698"
Burkina Faso,"23,251,485"
Syria,"23,227,014"
Sri Lanka,"21,893,579"
Malawi,"20,931,751"
Zambia,"20,569,737"
Romania,"19,892,812"
Chile,"19,629,590"
Kazakhstan,"19,606,633"
Chad,"18,278,568"
Ecuador,"18,190,484"
Somalia,"18,143,378"
Guatemala,"18,092,026"
Senegal,"17,763,163"
Netherlands,"17,618,299"
Cambodia,"16,944,826"
Zimbabwe,"16,665,409"
Guinea,"14,190,612"
Rwanda,"14,094,683"
Benin,"13,712,828"
Burundi,"13,238,559"
Tunisia,"12,458,223"
Bolivia,"12,388,571"
Haiti,"11,724,763"
Belgium,"11,686,140"
Jordan,"11,337,052"
Dominican Republic,"11,332,972"
Cuba,"11,194,449"
South Sudan,"11,088,796"
Sweden,"10,612,086"
Honduras,"10,593,798"
Czech Republic (Czechia),"10,495,295"
Azerbaijan,"10,412,651"
Greece,"10,341,277"
Papua New Guinea,"10,329,931"
Portugal,"10,247,605"
Hungary,"10,156,239"
Tajikistan,"10,143,543"
United Arab Emirates,"9,516,871"
Belarus,"9,498,238"
Israel,"9,174,520"
Togo,"9,053,799"
Austria,"8,958,960"
Switzerland,"8,796,669"
Sierra Leone,"8,791,092"
Laos,"7,633,779"
Hong Kong,"7,491,609"
Serbia,"7,149,077"
Nicaragua,"7,046,310"
Libya,"6,888,388"
Paraguay,"6,861,524"
Kyrgyzstan,"6,735,347"
Bulgaria,"6,687,717"
Turkmenistan,"6,516,100"
El Salvador,"6,364,943"
Congo,"6,106,869"
Singapore,"6,014,723"
Denmark,"5,910,913"
Slovakia,"5,795,199"
Central African Republic,"5,742,315"
Finland,"5,545,475"
Norway,"5,474,360"
Liberia,"5,418,377"
State of Palestine,"5,371,230"
Lebanon,"5,353,930"
New Zealand,"5,228,100"
Costa Rica,"5,212,173"
Ireland,"5,056,935"
Mauritania,"4,862,989"
Oman,"4,644,384"
Panama,"4,468,087"
Kuwait,"4,310,108"
Croatia,"4,008,617"
Eritrea,"3,748,901"
Georgia,"3,728,282"
Mongolia,"3,447,157"
Moldova,"3,435,931"
Uruguay,"3,423,108"
Puerto Rico,"3,260,314"
Bosnia and Herzegovina,"3,210,847"
Albania,"2,832,439"
Jamaica,"2,825,544"
Armenia,"2,777,970"
Gambia,"2,773,168"
Lithuania,"2,718,352"
Qatar,"2,716,391"
Botswana,"2,675,352"
Namibia,"2,604,172"
Gabon,"2,436,566"
Lesotho,"2,330,318"
Guinea-Bissau,"2,150,842"
Slovenia,"2,119,675"
North Macedonia,"2,085,679"
Latvia,"1,830,211"
Equatorial Guinea,"1,714,671"
Trinidad and Tobago,"1,534,937"
Bahrain,"1,485,509"
Timor-Leste,"1,360,596"
Estonia,"1,322,765"
Mauritius,"1,300,557"
Cyprus,"1,260,138"
Eswatini,"1,210,822"
Djibouti,"1,136,455"
Réunion,"981,796"
Fiji,"936,375"
Comoros,"852,075"
Guyana,"813,834"
Bhutan,"787,424"
Solomon Islands,"740,424"
Macao,"704,149"
Luxembourg,"654,768"
Montenegro,"626,485"
Suriname,"623,236"
Cabo Verde,"598,682"
Western Sahara,"587,259"
Micronesia,"544,321"
Malta,"535,064"
Maldives,"521,021"
Brunei,"452,524"
Bahamas,"412,623"
Belize,"410,825"
Guadeloupe,"395,839"
Iceland,"375,318"
Martinique,"366,981"
Mayotte,"335,995"
Vanuatu,"334,506"
French Guiana,"312,155"
French Polynesia,"308,872"
New Caledonia,"292,991"
Barbados,"281,995"
Sao Tome & Principe,"231,856"
Samoa,"225,681"
Curaçao,"192,077"
Saint Lucia,"180,251"
Guam,"172,952"
Kiribati,"133,515"
Grenada,"126,183"
Tonga,"107,773"
Seychelles,"107,660"
Aruba,"106,277"
St. Vincent & Grenadines,"103,698"
U.S. Virgin Islands,"98,750"
Antigua and Barbuda,"94,298"
Isle of Man,"84,710"
Andorra,"80,088"
Dominica,"73,040"
Cayman Islands,"69,310"
Bermuda,"64,069"
Greenland,"56,643"
Faeroe Islands,"53,270"
Northern Mariana Islands,"49,796"
Saint Kitts & Nevis,"47,755"
Turks and Caicos,"46,062"
Sint Maarten,"44,222"
American Samoa,"43,914"
Marshall Islands,"41,996"
Liechtenstein,"39,584"
Monaco,"36,297"
San Marino,"33,642"
Gibraltar,"32,688"
Saint Martin,"32,077"
British Virgin Islands,"31,538"
Caribbean Netherlands,"27,148"
Palau,"18,058"
Cook Islands,"17,044"
Anguilla,"15,899"
Nauru,"12,780"
Wallis & Futuna,"11,502"
Tuvalu,"11,396"
Saint Barthelemy,"10,994"
Saint Pierre & Miquelon,"5,840"
Saint Helena,"5,314"
Montserrat,"4,386"
Falkland Islands,"3,791"
Niue,"1,935"
Tokelau,"1,893"
Holy See,518
