Date,Power,Detector,Quality
1-Jan-16,96,8,Good
2-Jan-16,96,10,Good
3-Jan-16,91,8,Good
4-Jan-16,97,9,Good
5-Jan-16,91,11,Good
6-Jan-16,100,8,Good
7-Jan-16,95,8,Good
8-Jan-16,94,8,Good
9-Jan-16,99,12,Good
10-Jan-16,100,12,Good
11-Jan-16,92,11,Good
12-Jan-16,97,11,Good
13-Jan-16,99,12,Good
14-Jan-16,97,12,Good
15-Jan-16,98,10,Good
16-Jan-16,90,11,Good
17-Jan-16,97,9,Good
18-Jan-16,98,9,Good
19-Jan-16,96,11,Good
20-Jan-16,95,10,Good
21-Jan-16,100,10,Good
22-Jan-16,96,9,Good
23-Jan-16,99,8,Good
24-Jan-16,93,12,Good
25-Jan-16,97,12,Good
26-Jan-16,98,11,Good
27-Jan-16,95,9,Good
28-Jan-16,97,11,Good
29-Jan-16,94,8,Good
30-Jan-16,90,8,Good
31-Jan-16,99,9,Good
1-Feb-16,95,8,Good
2-Feb-16,90,10,Good
3-Feb-16,91,8,Good
4-Feb-16,91,9,Good
5-Feb-16,100,11,Good
6-Feb-16,100,9,Good
7-Feb-16,97,11,Good
8-Feb-16,94,10,Good
9-Feb-16,98,10,Good
10-Feb-16,100,12,Good
11-Feb-16,95,11,Good
12-Feb-16,94,8,Good
13-Feb-16,94,10,Good
14-Feb-16,94,6,Bad
15-Feb-16,93,7,Bad
16-Feb-16,95,6,Bad
17-Feb-16,94,7,Bad
18-Feb-16,97,5,Bad
19-Feb-16,96,7,Bad
20-Feb-16,99,5,Bad
21-Feb-16,95,6,Bad
22-Feb-16,97,6,Bad
23-Feb-16,91,5,Bad
24-Feb-16,91,7,Bad
25-Feb-16,97,5,Bad
26-Feb-16,93,6,Bad
27-Feb-16,92,6,Bad
28-Feb-16,92,5,Bad
29-Feb-16,99,7,Bad
1-Mar-16,92,5,Bad
2-Mar-16,98,6,Bad
3-Mar-16,97,7,Bad
4-Mar-16,100,12,Good
5-Mar-16,97,12,Good
6-Mar-16,93,11,Good
7-Mar-16,90,11,Good
8-Mar-16,100,11,Good
9-Mar-16,97,8,Good
10-Mar-16,100,12,Good
11-Mar-16,98,8,Good
12-Mar-16,92,10,Good
13-Mar-16,94,10,Good
14-Mar-16,91,10,Good
15-Mar-16,92,8,Good
16-Mar-16,91,11,Good
17-Mar-16,91,11,Good
18-Mar-16,97,11,Good
19-Mar-16,96,10,Good
20-Mar-16,94,12,Good
21-Mar-16,99,9,Good
22-Mar-16,93,10,Good
23-Mar-16,100,8,Good
24-Mar-16,100,10,Good
25-Mar-16,90,11,Good
26-Mar-16,95,8,Good
27-Mar-16,98,12,Good
28-Mar-16,97,8,Good
29-Mar-16,97,11,Good
30-Mar-16,91,12,Good
31-Mar-16,94,12,Good
1-Apr-16,90,11,Good
2-Apr-16,98,12,Good
3-Apr-16,96,8,Good
4-Apr-16,100,10,Good
5-Apr-16,91,11,Good
6-Apr-16,93,8,Good
7-Apr-16,97,12,Good
8-Apr-16,96,9,Good
9-Apr-16,90,8,Good
10-Apr-16,91,8,Good
11-Apr-16,90,9,Good
12-Apr-16,97,8,Good
13-Apr-16,91,9,Good
14-Apr-16,93,8,Good
15-Apr-16,91,11,Good
16-Apr-16,100,11,Good
17-Apr-16,96,8,Good
18-Apr-16,90,10,Good
19-Apr-16,98,10,Good
20-Apr-16,96,11,Good
21-Apr-16,90,10,Good
22-Apr-16,90,12,Good
23-Apr-16,98,9,Good
24-Apr-16,93,8,Good
25-Apr-16,97,10,Good
26-Apr-16,96,11,Good
27-Apr-16,97,11,Good
28-Apr-16,93,10,Good
29-Apr-16,93,12,Good
30-Apr-16,100,10,Good
1-May-16,67,10,Bad
2-May-16,62,11,Bad
3-May-16,64,8,Bad
4-May-16,70,12,Bad
5-May-16,62,11,Bad
6-May-16,61,10,Bad
7-May-16,73,10,Bad
8-May-16,75,12,Bad
9-May-16,67,9,Bad
10-May-16,62,8,Bad
11-May-16,65,8,Bad
12-May-16,70,10,Bad
13-May-16,65,11,Bad
14-May-16,65,8,Bad
15-May-16,63,8,Bad
16-May-16,63,9,Bad
17-May-16,92,12,Good
18-May-16,96,12,Good
19-May-16,100,8,Good
20-May-16,100,8,Good
21-May-16,98,9,Good
22-May-16,92,8,Good
23-May-16,98,10,Good
24-May-16,100,8,Good
25-May-16,98,12,Good
26-May-16,97,10,Good
27-May-16,92,11,Good
28-May-16,98,12,Good
29-May-16,91,12,Good
30-May-16,98,11,Good
31-May-16,95,12,Good
1-Jun-16,92,8,Good
2-Jun-16,99,8,Good
3-Jun-16,91,10,Good
4-Jun-16,93,12,Good
5-Jun-16,95,9,Good
6-Jun-16,97,10,Good
7-Jun-16,100,9,Good
8-Jun-16,91,9,Good
9-Jun-16,100,11,Good
10-Jun-16,100,12,Good
11-Jun-16,90,9,Good
12-Jun-16,96,12,Good
13-Jun-16,93,15,Bad
14-Jun-16,93,16,Bad
15-Jun-16,95,15,Bad
16-Jun-16,95,14,Bad
17-Jun-16,92,16,Bad
18-Jun-16,94,15,Bad
19-Jun-16,90,15,Bad
20-Jun-16,95,14,Bad
21-Jun-16,96,16,Bad
22-Jun-16,90,16,Bad
23-Jun-16,90,14,Bad
24-Jun-16,100,16,Bad
25-Jun-16,100,14,Bad
26-Jun-16,94,15,Bad
27-Jun-16,97,14,Bad
28-Jun-16,92,16,Bad
29-Jun-16,92,15,Bad
30-Jun-16,100,17,Bad
1-Jul-16,100,8,Good
2-Jul-16,95,8,Good
3-Jul-16,97,10,Good
4-Jul-16,90,8,Good
5-Jul-16,100,10,Good
6-Jul-16,98,12,Good
7-Jul-16,92,8,Good
8-Jul-16,99,12,Good
9-Jul-16,91,8,Good
10-Jul-16,100,10,Good
11-Jul-16,92,10,Good
12-Jul-16,99,8,Good
13-Jul-16,96,8,Good
14-Jul-16,92,8,Good
15-Jul-16,93,10,Good
16-Jul-16,97,11,Good
17-Jul-16,97,11,Good
18-Jul-16,91,12,Good
19-Jul-16,95,11,Good
20-Jul-16,98,9,Good
21-Jul-16,99,8,Good
22-Jul-16,92,10,Good
23-Jul-16,94,11,Good
24-Jul-16,95,12,Good
25-Jul-16,90,8,Good
26-Jul-16,90,8,Good
27-Jul-16,98,9,Good
28-Jul-16,99,11,Good
29-Jul-16,92,10,Good
30-Jul-16,94,10,Good
31-Jul-16,92,8,Good
1-Aug-16,92,10,Good
2-Aug-16,91,9,Good
3-Aug-16,92,9,Good
4-Aug-16,96,9,Good
5-Aug-16,93,8,Good
6-Aug-16,98,11,Good
7-Aug-16,90,10,Good
8-Aug-16,94,10,Good
9-Aug-16,97,9,Good
10-Aug-16,99,12,Good
11-Aug-16,92,9,Good
12-Aug-16,96,11,Good
13-Aug-16,95,8,Good
14-Aug-16,93,9,Good
15-Aug-16,94,12,Good
16-Aug-16,93,9,Good
17-Aug-16,100,10,Good
18-Aug-16,100,9,Good
19-Aug-16,99,10,Good
20-Aug-16,96,11,Good
21-Aug-16,100,8,Good
22-Aug-16,96,10,Good
23-Aug-16,98,10,Good
24-Aug-16,97,8,Good
25-Aug-16,95,11,Good
26-Aug-16,91,5,Bad
27-Aug-16,94,6,Bad
28-Aug-16,96,6,Bad
29-Aug-16,97,5,Bad
30-Aug-16,95,6,Bad
31-Aug-16,95,6,Bad
1-Sep-16,94,6,Bad
2-Sep-16,93,6,Bad
3-Sep-16,94,7,Bad
4-Sep-16,90,6,Bad
5-Sep-16,99,7,Bad
6-Sep-16,97,6,Bad
7-Sep-16,100,6,Bad
8-Sep-16,92,5,Bad
9-Sep-16,100,5,Bad
10-Sep-16,100,7,Bad
11-Sep-16,96,10,Good
12-Sep-16,94,8,Good
13-Sep-16,97,12,Good
14-Sep-16,97,11,Good
15-Sep-16,96,9,Good
16-Sep-16,92,12,Good
17-Sep-16,97,12,Good
18-Sep-16,93,11,Good
19-Sep-16,91,10,Good
20-Sep-16,97,12,Good
21-Sep-16,100,10,Good
22-Sep-16,90,11,Good
23-Sep-16,92,11,Good
24-Sep-16,91,8,Good
25-Sep-16,96,9,Good
26-Sep-16,96,8,Good
27-Sep-16,95,11,Good
28-Sep-16,96,8,Good
29-Sep-16,93,8,Good
30-Sep-16,94,11,Good
1-Oct-16,95,8,Good
2-Oct-16,98,12,Good
3-Oct-16,100,8,Good
4-Oct-16,91,10,Good
5-Oct-16,97,10,Good
6-Oct-16,95,12,Good
7-Oct-16,92,10,Good
8-Oct-16,95,8,Good
9-Oct-16,92,12,Good
10-Oct-16,91,12,Good
11-Oct-16,96,8,Good
12-Oct-16,99,8,Good
13-Oct-16,94,12,Good
14-Oct-16,97,8,Good
15-Oct-16,98,12,Good
16-Oct-16,95,10,Good
17-Oct-16,90,12,Good
18-Oct-16,93,8,Good
19-Oct-16,92,11,Good
20-Oct-16,90,9,Good
21-Oct-16,95,12,Good
22-Oct-16,90,9,Good
23-Oct-16,94,12,Good
24-Oct-16,100,11,Good
25-Oct-16,99,11,Good
26-Oct-16,93,10,Good
27-Oct-16,93,10,Good
28-Oct-16,90,11,Good
29-Oct-16,97,12,Good
30-Oct-16,98,10,Good
31-Oct-16,98,12,Good
1-Nov-16,100,10,Good
2-Nov-16,100,11,Good
3-Nov-16,93,10,Good
4-Nov-16,98,8,Good
5-Nov-16,93,8,Good
6-Nov-16,99,11,Good
7-Nov-16,96,8,Good
8-Nov-16,100,12,Good
9-Nov-16,96,10,Good
10-Nov-16,96,12,Good
11-Nov-16,90,10,Good
12-Nov-16,90,11,Good
13-Nov-16,98,10,Good
14-Nov-16,97,9,Good
15-Nov-16,98,11,Good
16-Nov-16,92,11,Good
17-Nov-16,91,12,Good
18-Nov-16,99,12,Good
19-Nov-16,92,11,Good
20-Nov-16,100,11,Good
21-Nov-16,97,10,Good
22-Nov-16,100,10,Good
23-Nov-16,90,11,Good
24-Nov-16,90,9,Good
25-Nov-16,94,12,Good
26-Nov-16,96,9,Good
27-Nov-16,96,12,Good
28-Nov-16,97,10,Good
29-Nov-16,91,6,Bad
30-Nov-16,90,7,Bad
1-Dec-16,91,7,Bad
2-Dec-16,93,6,Bad
3-Dec-16,100,5,Bad
4-Dec-16,90,5,Bad
5-Dec-16,100,7,Bad
6-Dec-16,92,6,Bad
7-Dec-16,96,7,Bad
8-Dec-16,97,5,Bad
9-Dec-16,98,7,Bad
10-Dec-16,98,6,Bad
11-Dec-16,92,7,Bad
12-Dec-16,96,7,Bad
13-Dec-16,100,6,Bad
14-Dec-16,94,6,Bad
15-Dec-16,92,11,Good
16-Dec-16,98,12,Good
17-Dec-16,98,10,Good
18-Dec-16,99,10,Good
19-Dec-16,93,12,Good
20-Dec-16,141,12,Bad
21-Dec-16,138,12,Bad
22-Dec-16,147,10,Bad
23-Dec-16,124,8,Bad
24-Dec-16,125,12,Bad
25-Dec-16,139,12,Bad
26-Dec-16,140,10,Bad
27-Dec-16,134,11,Bad
28-Dec-16,130,10,Bad
29-Dec-16,132,10,Bad
30-Dec-16,148,11,Bad
31-Dec-16,130,12,Bad
1-Jan-17,139,9,Bad
2-Jan-17,142,8,Bad
3-Jan-17,147,10,Bad
4-Jan-17,120,10,Bad
5-Jan-17,94,11,Good
6-Jan-17,92,11,Good
7-Jan-17,93,8,Good
8-Jan-17,98,9,Good
9-Jan-17,91,11,Good
10-Jan-17,97,9,Good
11-Jan-17,99,9,Good
12-Jan-17,97,11,Good
13-Jan-17,93,9,Good
14-Jan-17,100,9,Good
15-Jan-17,94,12,Good
16-Jan-17,100,9,Good
17-Jan-17,97,9,Good
18-Jan-17,91,10,Good
19-Jan-17,94,12,Good
20-Jan-17,98,12,Good
21-Jan-17,93,11,Good
22-Jan-17,92,12,Good
23-Jan-17,96,10,Good
24-Jan-17,98,12,Good
25-Jan-17,93,12,Good
26-Jan-17,97,12,Good
27-Jan-17,96,9,Good
28-Jan-17,96,9,Good
29-Jan-17,92,12,Good
30-Jan-17,100,12,Good
31-Jan-17,90,12,Good
1-Feb-17,98,11,Good
2-Feb-17,99,8,Good
3-Feb-17,95,9,Good
4-Feb-17,97,10,Good
5-Feb-17,91,8,Good
6-Feb-17,93,10,Good
7-Feb-17,92,12,Good
8-Feb-17,95,9,Good
9-Feb-17,95,9,Good
10-Feb-17,91,10,Good
11-Feb-17,93,12,Good
12-Feb-17,99,8,Good
13-Feb-17,92,9,Good
14-Feb-17,98,10,Good
15-Feb-17,95,9,Good
16-Feb-17,93,12,Good
17-Feb-17,99,12,Good
18-Feb-17,90,9,Good
19-Feb-17,95,8,Good
20-Feb-17,100,6,Bad
21-Feb-17,95,5,Bad
22-Feb-17,92,7,Bad
23-Feb-17,99,7,Bad
24-Feb-17,98,7,Bad
25-Feb-17,99,5,Bad
26-Feb-17,93,5,Bad
27-Feb-17,96,5,Bad
28-Feb-17,95,7,Bad
1-Mar-17,94,6,Bad
2-Mar-17,92,6,Bad
3-Mar-17,90,5,Bad
4-Mar-17,98,5,Bad
5-Mar-17,98,7,Bad
6-Mar-17,97,7,Bad
7-Mar-17,95,7,Bad
8-Mar-17,100,12,Good
9-Mar-17,98,12,Good
10-Mar-17,97,11,Good
11-Mar-17,100,8,Good
12-Mar-17,97,9,Good
13-Mar-17,93,9,Good
14-Mar-17,97,11,Good
15-Mar-17,92,9,Good
16-Mar-17,93,8,Good
17-Mar-17,95,10,Good
18-Mar-17,93,9,Good
19-Mar-17,100,12,Good
20-Mar-17,96,12,Good
21-Mar-17,95,12,Good
22-Mar-17,98,11,Good
23-Mar-17,91,12,Good
24-Mar-17,95,11,Good
25-Mar-17,91,8,Good
26-Mar-17,98,12,Good
27-Mar-17,92,10,Good
28-Mar-17,93,12,Good
29-Mar-17,98,11,Good
30-Mar-17,99,10,Good
31-Mar-17,92,10,Good
1-Apr-17,93,12,Good
2-Apr-17,96,12,Good
3-Apr-17,97,8,Good
4-Apr-17,91,10,Good
5-Apr-17,96,12,Good
6-Apr-17,90,8,Good
7-Apr-17,96,10,Good
8-Apr-17,97,8,Good
9-Apr-17,92,10,Good
10-Apr-17,126,10,Bad
11-Apr-17,130,9,Bad
12-Apr-17,127,9,Bad
13-Apr-17,128,12,Bad
14-Apr-17,123,11,Bad
15-Apr-17,130,9,Bad
16-Apr-17,122,12,Bad
17-Apr-17,123,12,Bad
18-Apr-17,126,12,Bad
19-Apr-17,126,10,Bad
20-Apr-17,128,11,Bad
21-Apr-17,130,10,Bad
22-Apr-17,123,9,Bad
23-Apr-17,120,8,Bad
24-Apr-17,125,9,Bad
25-Apr-17,91,8,Good
26-Apr-17,94,11,Good
27-Apr-17,98,8,Good
28-Apr-17,100,12,Good
29-Apr-17,93,8,Good
30-Apr-17,94,10,Good
1-May-17,93,8,Good
2-May-17,95,12,Good
3-May-17,95,10,Good
4-May-17,97,11,Good
5-May-17,94,9,Good
6-May-17,98,12,Good
7-May-17,93,9,Good
8-May-17,92,11,Good
9-May-17,95,8,Good
10-May-17,95,11,Good
11-May-17,94,11,Good
12-May-17,97,8,Good
13-May-17,100,10,Good
14-May-17,93,12,Good
15-May-17,95,11,Good
16-May-17,93,11,Good
17-May-17,97,12,Good
18-May-17,93,9,Good
19-May-17,100,12,Good
20-May-17,97,12,Good
21-May-17,99,9,Good
22-May-17,93,12,Good
23-May-17,99,8,Good
24-May-17,92,12,Good
25-May-17,92,11,Good
26-May-17,91,7,Bad
27-May-17,96,5,Bad
28-May-17,100,7,Bad
29-May-17,93,5,Bad
30-May-17,90,6,Bad
31-May-17,95,6,Bad
1-Jun-17,93,6,Bad
2-Jun-17,98,7,Bad
3-Jun-17,90,7,Bad
4-Jun-17,100,7,Bad
5-Jun-17,93,6,Bad
6-Jun-17,100,5,Bad
7-Jun-17,96,7,Bad
8-Jun-17,98,5,Bad
9-Jun-17,94,6,Bad
10-Jun-17,95,7,Bad
11-Jun-17,92,10,Good
12-Jun-17,94,11,Good
13-Jun-17,95,10,Good
14-Jun-17,91,9,Good
15-Jun-17,92,8,Good
16-Jun-17,92,9,Good
17-Jun-17,99,9,Good
18-Jun-17,98,9,Good
19-Jun-17,94,9,Good
20-Jun-17,100,10,Good
21-Jun-17,91,10,Good
22-Jun-17,94,9,Good
23-Jun-17,99,12,Good
24-Jun-17,92,11,Good
25-Jun-17,93,11,Good
26-Jun-17,100,10,Good
27-Jun-17,91,11,Good
28-Jun-17,96,11,Good
29-Jun-17,97,11,Good
30-Jun-17,92,10,Good
1-Jul-17,95,11,Good
2-Jul-17,99,12,Good
3-Jul-17,91,11,Good
4-Jul-17,100,8,Good
5-Jul-17,92,9,Good
6-Jul-17,99,12,Good
7-Jul-17,99,11,Good
8-Jul-17,90,11,Good
9-Jul-17,98,9,Good
10-Jul-17,95,8,Good
11-Jul-17,93,11,Good
12-Jul-17,92,10,Good
13-Jul-17,100,9,Good
14-Jul-17,90,9,Good
15-Jul-17,90,9,Good
16-Jul-17,94,8,Good
17-Jul-17,96,12,Good
18-Jul-17,95,9,Good
19-Jul-17,92,11,Good
20-Jul-17,99,11,Good
21-Jul-17,94,12,Good
22-Jul-17,97,9,Good
23-Jul-17,96,8,Good
24-Jul-17,99,11,Good
25-Jul-17,95,9,Good
26-Jul-17,91,8,Good
27-Jul-17,93,11,Good
28-Jul-17,94,8,Good
29-Jul-17,100,9,Good
30-Jul-17,95,11,Good
31-Jul-17,99,8,Good
1-Aug-17,90,12,Good
2-Aug-17,94,11,Good
3-Aug-17,94,6,Bad
4-Aug-17,96,6,Bad
5-Aug-17,93,7,Bad
6-Aug-17,100,5,Bad
7-Aug-17,98,7,Bad
8-Aug-17,97,5,Bad
9-Aug-17,95,7,Bad
10-Aug-17,94,5,Bad
11-Aug-17,94,5,Bad
12-Aug-17,97,6,Bad
13-Aug-17,90,6,Bad
14-Aug-17,96,6,Bad
15-Aug-17,97,7,Bad
16-Aug-17,90,5,Bad
17-Aug-17,97,6,Bad
18-Aug-17,94,7,Bad
19-Aug-17,96,8,Good
20-Aug-17,94,10,Good
21-Aug-17,98,12,Good
22-Aug-17,96,9,Good
23-Aug-17,97,12,Good
24-Aug-17,98,11,Good
25-Aug-17,100,9,Good
26-Aug-17,96,9,Good
27-Aug-17,90,11,Good
28-Aug-17,90,11,Good
29-Aug-17,91,9,Good
30-Aug-17,96,10,Good
31-Aug-17,94,11,Good
1-Sep-17,95,8,Good
2-Sep-17,98,11,Good
3-Sep-17,99,12,Good
4-Sep-17,91,11,Good
5-Sep-17,95,10,Good
6-Sep-17,92,9,Good
7-Sep-17,98,8,Good
8-Sep-17,99,12,Good
9-Sep-17,94,11,Good
10-Sep-17,81,8,Bad
11-Sep-17,81,10,Bad
12-Sep-17,84,8,Bad
13-Sep-17,80,12,Bad
14-Sep-17,83,10,Bad
15-Sep-17,81,9,Bad
16-Sep-17,85,10,Bad
17-Sep-17,82,9,Bad
18-Sep-17,86,11,Bad
19-Sep-17,86,9,Bad
20-Sep-17,80,10,Bad
21-Sep-17,87,11,Bad
22-Sep-17,80,12,Bad
23-Sep-17,85,12,Bad
24-Sep-17,79,9,Bad
25-Sep-17,89,8,Bad
26-Sep-17,82,11,Bad
27-Sep-17,82,12,Bad
28-Sep-17,88,8,Bad
29-Sep-17,86,10,Bad
30-Sep-17,82,9,Bad
1-Oct-17,97,9,Good
2-Oct-17,98,8,Good
3-Oct-17,97,12,Good
4-Oct-17,92,12,Good
5-Oct-17,98,8,Good
6-Oct-17,97,11,Good
7-Oct-17,96,8,Good
8-Oct-17,95,12,Good
9-Oct-17,92,8,Good
10-Oct-17,92,11,Good
11-Oct-17,99,12,Good
12-Oct-17,95,10,Good
13-Oct-17,95,12,Good
14-Oct-17,90,8,Good
15-Oct-17,100,9,Good
16-Oct-17,90,8,Good
17-Oct-17,97,10,Good
18-Oct-17,96,11,Good
19-Oct-17,94,12,Good
20-Oct-17,90,11,Good
21-Oct-17,100,11,Good
22-Oct-17,99,9,Good
23-Oct-17,90,11,Good
24-Oct-17,90,7,Bad
25-Oct-17,93,6,Bad
26-Oct-17,98,6,Bad
27-Oct-17,91,5,Bad
28-Oct-17,91,7,Bad
29-Oct-17,98,5,Bad
30-Oct-17,98,5,Bad
31-Oct-17,92,7,Bad
1-Nov-17,100,7,Bad
2-Nov-17,99,5,Bad
3-Nov-17,93,5,Bad
4-Nov-17,100,6,Bad
5-Nov-17,97,5,Bad
6-Nov-17,93,7,Bad
7-Nov-17,93,6,Bad
8-Nov-17,90,7,Bad
9-Nov-17,98,8,Good
10-Nov-17,92,12,Good
11-Nov-17,94,11,Good
12-Nov-17,98,12,Good
13-Nov-17,90,11,Good
14-Nov-17,95,11,Good
15-Nov-17,91,12,Good
16-Nov-17,100,8,Good
17-Nov-17,94,8,Good
18-Nov-17,98,8,Good
19-Nov-17,98,11,Good
20-Nov-17,97,12,Good
21-Nov-17,92,11,Good
22-Nov-17,95,9,Good
23-Nov-17,95,11,Good
24-Nov-17,100,9,Good
25-Nov-17,90,12,Good
26-Nov-17,94,10,Good
27-Nov-17,98,12,Good
28-Nov-17,91,12,Good
29-Nov-17,95,10,Good
30-Nov-17,98,11,Good
1-Dec-17,90,8,Good
2-Dec-17,97,12,Good
3-Dec-17,90,11,Good
4-Dec-17,100,8,Good
5-Dec-17,95,8,Good
6-Dec-17,90,10,Good
7-Dec-17,94,9,Good
8-Dec-17,100,11,Good
9-Dec-17,99,11,Good
10-Dec-17,93,12,Good
11-Dec-17,98,9,Good
12-Dec-17,92,9,Good
13-Dec-17,93,8,Good
14-Dec-17,90,10,Good
15-Dec-17,97,9,Good
16-Dec-17,90,10,Good
17-Dec-17,92,11,Good
18-Dec-17,94,9,Good
19-Dec-17,96,12,Good
20-Dec-17,119,9,Bad
21-Dec-17,115,10,Bad
22-Dec-17,117,12,Bad
23-Dec-17,113,9,Bad
24-Dec-17,114,10,Bad
25-Dec-17,110,12,Bad
26-Dec-17,112,8,Bad
27-Dec-17,119,11,Bad
28-Dec-17,117,9,Bad
29-Dec-17,116,11,Bad
30-Dec-17,116,12,Bad
31-Dec-17,120,11,Bad
